Type,Title,Services,Skills,Description,In4_project,In4_employment,Num_applicants,Applicants,Duration,Price,Link
Nhận chào giá,"
Cần tìm lập trình viên làm freetime Hết hạn nhận chào giá

","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

iOS , 
PHP , 
3D , 
Tiếng Anh , 
Laravel , 
design  ","

 Web: PHP, Laravel 
 Aos: Ardroid 
 Ios: Iphone APP phát triển 
 windows: C#, VB 
 Game : Unity 
 design: 3D Model 
 Có khả năng chát bằng tiếng anh( trao đổi công việc qua skype) 
Hiện tại đang cần làm về Laravel (các bạn chỉ cẩn biết 1 trong các ngôn ngữ ở trên. hãy gửi CV vì mỗi dự án sẽ cần viết các ngôn ngữ khác nhau công ty sẽ dựa theo CV để liên lạc khi cần yêu cầu kỹ thuật khác)

","

ID dự án
40861
Ngày đăng

                                            23/06/2020, 15:28                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                30.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        KETRI                
















Đến từ
TP. Ho Chi Minh
Tham gia
30/12/2019
Đã đăng


                    6                    việc                



","
                Chào giá:                                        
                        6                    
","['/freelancer/van-tam-3', '/freelancer/thuan-4', '/freelancer/nguyen-hong-thang-1', '/freelancer/thuy-ngoc-8', '/freelancer/nam-nguyen-277', '/freelancer/nguyen-quoc-tiec']","
                Trung bình:                4 ngày
","

                Thấp nhất:                25.000.000 VNĐ

|

                Trung bình:                74.166.667 VNĐ

|

                Cao nhất:                300.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/can-tim-nguoi-lam-freetime
Nhận chào giá,"
Zalo Pay Web Component Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

HTML , 
Javascript  ","

Tích hợp hệ thống thanh toán online Zalo Pay vào trang web (trang web/hệ thống này chỉ cho nhúng HTML hay JavaScript). 
Tài liệu hướng dẫn việc tích hợp thanh toán với nền tảng ZaloPay Gateway 
https://developers.zalopay.vn/docs/gateway/index.html#t-ng-quan

","

ID dự án
41028
Ngày đăng

                                            02/07/2020, 06:41                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Phan Đình Phong                
















Đến từ
Toàn quốc
Tham gia
02/07/2020
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        4                    
","['/freelancer/dottp-tech', '/freelancer/le-quoc-viet-1', '/freelancer/tran-anh-duc', '/freelancer/danh-do']","
                Trung bình:                4 ngày
","

                Thấp nhất:                1.500.000 VNĐ

|

                Trung bình:                2.000.000 VNĐ

|

                Cao nhất:                2.500.000 VNĐ

",https://www.vlance.vn/viec-freelance/zalo-pay-web-component
Nhận chào giá,"
Tạo bot gửi tin nhắn tự động zalo- telegram Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

",,"

Mình đang sử dụng phần mềm Amibroker để giao dịch chứng khoán. 
Cần một bạn biết về API như của zalo hay tele. Mình cần tạo bot để gửi tin nhắn tự động khi Amibroker có cảnh báo điểm vào lệnh mới vào zalo.

","

ID dự án
41026
Ngày đăng

                                            01/07/2020, 21:49                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyễn Thành Công                





Lập trình viên/ chuyên viên ngân hàng












Đến từ
Ha Noi
Tham gia
14/07/2015
Đã đăng


                    10                    việc                



","
                Chào giá:                                        
                        3                    
","['/freelancer/pham-quang-11', '/freelancer/dam-manh-hung', '/freelancer/pham-the-toan']","
                Trung bình:                2 ngày
","

                Thấp nhất:                2.500.000 VNĐ

|

                Trung bình:                3.500.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/tao-bot-gui-tin-nhan-tu-dong-zalo-telegram
Nhận chào giá,"
Tuyển sinh viên java, .Net mới ra trường Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

.NET , 
Java , 
MSSQL  ","

Anh cần tuyển 10 bạn mới đi làm hoặc sinh viên năm cuối chờ tốt nghiệp lập trình các ứng dụng tài chính ngân hàng về công nghệ java và .Net 
1. Năm cuối làm fulltime 
2. Công nghệ: Java, .Net, Oracle, SQl server 
3. Có nền tảng đax thực hiện các ứng dụng, đề tài thực tế, có thể lập trình cơ bản ngay 
4. Có tư duy logic và khả năng tiếp cận công nghệ tốt, nói chung phải lập trình đc thực tế 
5. Lương 7-10 triệu/ người khi đánh giá năng lực

","

ID dự án
41025
Ngày đăng

                                            01/07/2020, 21:25                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                3.000.000đ                                                             - 10.000.000đ                                                
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Anh Nguyen Ngoc                


















Đến từ
Ha Noi
Tham gia
31/12/2015
Đã đăng


                    6                    việc                



","
                Chào giá:                                        
                        0                    
",[],"
                Trung bình:                0 ngày
","

                Thấp nhất:                0 VNĐ

|

                Trung bình:                0 VNĐ

|

                Cao nhất:                0 VNĐ

",https://www.vlance.vn/viec-lam/tuyen-sinh-vien-java-net-moi-ra-truong
Nhận chào giá,"
Lập trình trang web cửa hàng Nail+Spa Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

CSS , 
HTML5 , 
Java , 
Javascript , 
ASP.NET  ","

Cần hoàn thành trang web về cửa hàng nail+spa+massge gồm 2 phần 
Phần admin ( dành cho chủ ) và client( dành cho khách hàng) 
Phần admin đã hoàn thành 95% chưa làm trang chủ, đã gắn giao diện 
Phần client chưa gắn giao diện, đã có giao diện

","

ID dự án
41023
Ngày đăng

                                            01/07/2020, 17:59                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.500.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nhân Tran                





Marketing Online












Đến từ
TP. Ho Chi Minh
Tham gia
21/08/2018
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/jubei-yagyu', '/freelancer/vinh-nguyen-23', '/freelancer/cam-huynh-2', '/freelancer/to-hien-nhan', '/freelancer/nguyen-quoc-tiec']","
                Trung bình:                8 ngày
","

                Thấp nhất:                1.500.000 VNĐ

|

                Trung bình:                3.700.000 VNĐ

|

                Cao nhất:                10.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/lap-trinh-trang-web-cua-hang-nail-spa
Nhận chào giá,"
Kết nối cổng thanh toán Paypal cho web bán hàng Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Test và kiểm tra lỗi 

",,"

Mình cần 1 bạn hỗ trợ kết nối cổng thanh toán paypal cho web bán hàng 
Yêu cầu kết nối cổng paypal để khách hàng có thể thanh toán trực tiếp bàng visa/ master card thông qua cổng paypal mà không cần đăng ký tài khoản paypal

","

ID dự án
41020
Ngày đăng

                                            01/07/2020, 15:59                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                3.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Trần Thị Cúc                





Quản lý dự án












Đến từ
Ha Noi
Tham gia
29/07/2015
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/nguyen-ut-hien', '/freelancer/hung-nguyen-234', '/freelancer/le-quoc-viet-1', '/freelancer/van-dung-pham', '/freelancer/nguyen-dinh-trung-1']","
                Trung bình:                3 ngày
","

                Thấp nhất:                1.000.000 VNĐ

|

                Trung bình:                2.600.000 VNĐ

|

                Cao nhất:                3.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/ket-noi-cong-thanh-toan-paypal-cho-web-ban-hang
Nhận chào giá,"
Làm website bán hàng trên wordpress Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Dựng website bán hàng 

","
Kỹ năng

Wordpress , 
Bán hàng  ","

Cần thực hiện 3 website bán hàng bằng wordpress, có thể sử dụng template trên mạng. Yêu cầu: 
- 3 web với 3 template khác nhau 
- Có thể sử dụng chung 1 database sản phẩm hoặc đồng bộ sản phẩm trực tiếp, tránh việc phải đăng sản phẩm trên từng website khác nhau.

","

ID dự án
41017
Ngày đăng

                                            01/07/2020, 13:16                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                3.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyen ha                
















Đến từ
Toàn quốc
Tham gia
01/07/2020
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        14                    
","['/freelancer/duc-t-1', '/freelancer/karl-terry', '/freelancer/tran-duc-nhan', '/freelancer/lam-tuan-duc', '/freelancer/nguyen-tan-khoa-3', '/freelancer/viet-tran-40', '/freelancer/dottp-tech', '/freelancer/manh-hieu-3', '/freelancer/le-quoc-viet-1', '/freelancer/nguyen-quang-dao-2', '/freelancer/nghi-tran-nguyen', '/freelancer/dung-nakedsnake', '/freelancer/nguyen-ut-hien', '/freelancer/ngo-chung-kien']","
                Trung bình:                12 ngày
","

                Thấp nhất:                2.400.000 VNĐ

|

                Trung bình:                4.527.857 VNĐ

|

                Cao nhất:                9.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/lam-website-ban-hang-tren-wordpress
Nhận chào giá,"
Tuyển Free lancer lập trình nhận diện ký tự Tiếng Việt Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Tiếng Việt  ","

Tuyển Free lancer lập trình OCR nhận diện ký tự Tiếng Việt: 
Sử dụng một trong các giải pháp sau: 
- Sử dụng AI/deeplearning để nhân diện ký tự từ văn bản scan 
- Hoặc sử dụng Tesseract OCR engine, có khả năng cải tiến để nâng cao chất lượng nhận diện ký tự 
- Sử dụng ABBYY 
- Sử dụng Google Vision 
- Làm việc remote working 
- Scan giấy phép 
Có người trao đổi yc bài toán rõ ràng

","

ID dự án
41016
Ngày đăng

                                            01/07/2020, 11:55                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                80.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Hoa Ngoc                





HR Manager












Đến từ
Ha Noi
Tham gia
08/01/2018
Đã đăng


                    48                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/ha-vu-kien', '/freelancer/do-quoc-the', '/freelancer/thanh-truong-xuan', '/freelancer/heo-dat-1', '/freelancer/adward-nguyen-1']","
                Trung bình:                15 ngày
","

                Thấp nhất:                20.000.000 VNĐ

|

                Trung bình:                42.600.000 VNĐ

|

                Cao nhất:                80.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/tuyen-free-lancer-lap-trinh-ai-nhan-dien-ky-tu-tieng-viet
Nhận chào giá,"
Cần viết macro tự động đăng nhập vào nhiều web và thực hiện thao tác trên Chrome Firefox Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Lập trình web , 
Lập trình phần mềm  ","

Cần viết macro tự động đăng nhập vào nhiều web và thực hiện thao tác trên Chrome Firefox 
Cụ thể: 
Đăng nhập vào web (chủ yếu có script tương tự nhau, 1 số xài custom script) theo mỗi 1 giờ, 2 giờ, hoặc ngày, tuy từng web để thực hiện lệnh rút tiền.

","

ID dự án
41014
Ngày đăng

                                            01/07/2020, 11:02                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                200.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Hoang Nam                



Quản trị viên












Đến từ
TP. Ho Chi Minh
Tham gia
16/10/2015
Đã đăng


                    4                    việc                



","
                Chào giá:                                        
                        0                    
",[],"
                Trung bình:                0 ngày
","

                Thấp nhất:                0 VNĐ

|

                Trung bình:                0 VNĐ

|

                Cao nhất:                0 VNĐ

",https://www.vlance.vn/viec-freelance/can-viet-macro-tu-dong-dang-nhap-vao-nhieu-web-va-thuc-hien-thao-tac-tren-chrome-firefox
Nhận chào giá,"
Dựng website bán hàng gỗ xuất khẩu Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Dựng website bán hàng 

",,"

Công ty TNHH DKL chúng tôi cần tuyển người làm trang website quảng bá sản phẩm gỗ xuất khẩu châu âu và nước ngoài khác. Anh chị em quan tâm xin vui lòng liên hệ. Website đẹp , nội dung rõ ràng chi tiết, hình ảnh sinh động .

","

ID dự án
41012
Ngày đăng

                                            01/07/2020, 10:40                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                30.003.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Khanh linh                
















Đến từ
TP. Ho Chi Minh
Tham gia
18/03/2020
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        28                    
","['/freelancer/dung-nakedsnake', '/freelancer/hoang-van-quang-2', '/freelancer/ho-huynh-lam', '/freelancer/johnny-tran-1', '/freelancer/tung-do-9', '/freelancer/karl-terry', '/freelancer/cam-huynh-2', '/freelancer/hiep-nguyen-1020', '/freelancer/lam-tuan-duc', '/freelancer/tran-minh-tuan-36', '/freelancer/viet-tran-40', '/freelancer/nguyen-tuan-201', '/freelancer/dottp-tech', '/freelancer/tuyen-do', '/freelancer/zone-9-1', '/freelancer/nguyen-dinh-toan-9', '/freelancer/manh-hieu-3', '/freelancer/le-quoc-viet-1', '/freelancer/le-dinh-ky', '/freelancer/nguyen-quang-dao-2', '/freelancer/nghi-tran-nguyen', '/freelancer/nguyen-quoc-tiec', '/freelancer/pham-ngoc-quy-4', '/freelancer/adward-nguyen-1', '/freelancer/minh-nguyen-227', '/freelancer/phan-van-binh-3', '/freelancer/nguyen-ut-hien', '/freelancer/ngo-chung-kien']","
                Trung bình:                19 ngày
","

                Thấp nhất:                5.500.000 VNĐ

|

                Trung bình:                23.249.964 VNĐ

|

                Cao nhất:                40.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/dung-website-ban-hang-go-xuat-khau
