Type,Title,Services,Skills,Description,In4_project,In4_employment,Num_applicants,Applicants,Duration,Price,Link
Đăng việc,"
App danh bạ điện thoại cho đơn vị Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Làm Mobile App theo yêu cầu 

","
Kỹ năng

iOS , 
Android , 
code  ","

Hiện nay đơn vị tôi có sử dụng danh bạ kiểu cổ (in ra sách, photo, lưu trữ trong file excel). Mỗi khi sử dụng mất nhiều thời gian tìm kiếm trong sách danh bạ hoặc file, hoặc phải có máy tính mới tìm được. Tôi cần viết một app (cả Android và iOS) để giải quyết thay cho cuốn sách danh bạ này. Cụ thể một số lưu ý sau: 
1./. App cho cả Android và iOS, khi bàn giao phải bàn giao cả CODE, 
2./. App khi cài cần có mã kích hoạt và/hoặc theo các hình thức: Mã admin (tôi) cấp trước; kích hoạt OTP (di động, email); Ai có tên (sđt) trong danh bạ mới cài được. Tính năng này để hạn chế danh bạ phát tán tràn lan trên mạng. 
3./. Đối với người sử dụng cuối: Có thể tìm kiếm theo tên, phòng ban, email, số điện thoại, địa chỉ phòng. 
4./. Đối với QT (admin) có web để quản trị: xóa, thêm, sửa, cấp list mã kích hoạt theo danh sách, khóa người dùng cụ thể theo yêu cầu 
5./. Có giải pháp thu tiền (nếu cần) của người sử dụng danh bạ được (thanh toán qua VNPAY hoặc ví nào tương đương). 
Một số đề xuất khác thấy phù hợp hơn khi trực tiếp trao đổi.

","

ID dự án
45260
Ngày đăng

                                            22/02/2021, 11:43                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                                                             - 2.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyễn Thanh Bắc                



Trưởng Phòng












Đến từ
Ha Noi
Tham gia
05/04/2016
Đã đăng


                    7                    việc                



","
                Chào giá:                                        
                        11                    
","['/freelancer/hieu-huu-pham', '/freelancer/giang-nguyen-117', '/freelancer/do-trung-dung', '/freelancer/dong-anh', '/freelancer/vang-linh-nguyen', '/freelancer/truong-quoc-cuong-5', '/freelancer/anh-thu-86', '/freelancer/tinh-vu', '/freelancer/tung-pham-thanh-5', '/freelancer/salem-duy', '/freelancer/trinh-vo-mai']","
                Trung bình:                13 ngày
","

                Thấp nhất:                400.000 VNĐ

|

                Trung bình:                15.990.909 VNĐ

|

                Cao nhất:                100.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/app-danh-ba-dien-thoai-cho-don-vi
Đăng việc,"
Cắt HTML chuẩn bootstrap 5 Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Chuyển Template thành Website 

","
Kỹ năng

Bootstrap , 
HTML , 
design , 
Figma  ","

Hi mọi người! 
Hiện mình đăng có design thế này, cần cắt sang HTML chuẩn bootstrap 5. 
Design hiện tại: https://www.figma.com/file/sl9jV8AjIYV3QTAVpRU4qN/5me.onl?node-id=0%3A1 
CHÚ Ý LÀ CÓ REPONSIVE. 
Không yêu cầu giỏi, YÊU CẦU KỸ. 
Vui lòng demo giúp mình 1 trang cắt trước. 
Mình cám ơn.

","

ID dự án
45259
Ngày đăng

                                            22/02/2021, 11:13                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                                                             - 3.500.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nghị Trần Nguyễn                





Lập trình viên full-stack












Đến từ
TP. Ho Chi Minh
Tham gia
11/09/2016
Đã đăng


                    26                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/dong', '/freelancer/trung-pham-thanh-1', '/freelancer/anmc', '/freelancer/tuan-do-27', '/freelancer/luu-ngoc-quang']","
                Trung bình:                4 ngày
","

                Thấp nhất:                2.500.000 VNĐ

|

                Trung bình:                3.700.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/cat-html-chuan-bootstrap-5
Đăng việc,"
Lưu giữ liệu từ website có sẵn Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Xử lý dữ liệu 

","
Kỹ năng

MySQL , 
PHP , 
SQL  ","

Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database 
Lưu trữ thông tin từ webpages vào database

","

ID dự án
45257
Ngày đăng

                                            22/02/2021, 10:56                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                                                             - 1.500.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyễn Quốc Hùng                
















Đến từ
Ha Noi
Tham gia
25/01/2021
Đã đăng


                    4                    việc                



","
                Chào giá:                                        
                        7                    
","['/freelancer/vo-van-khoa', '/freelancer/dong-anh', '/freelancer/nguyen-minh-tuan-29', '/freelancer/tuyen-mai-5', '/freelancer/phan-van-binh-3', '/freelancer/greathink-team', '/freelancer/tuan-do-27']","
                Trung bình:                3 ngày
","

                Thấp nhất:                1.000.000 VNĐ

|

                Trung bình:                1.500.000 VNĐ

|

                Cao nhất:                2.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/luu-giu-lieu-tu-website-co-san
Đăng việc,"
Xây dựng hệ thống chatbot Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

MySQL , 
Laravel  ","

mình muốn xây dựng hệ thống chatbot giống 
https://messflow.com 
mọi người vào trang trên để tham khảo các tinh năng nhé. 
Yêu cầu phát triển trên framework laravel và mysql 
chatbot có thể tích hợp được facebook, zalo...

","

ID dự án
45252
Ngày đăng

                                            22/02/2021, 00:05                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                15.000.000đ                                                             - 20.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Ngo Tuan Cuong                





Lập trình viên












Đến từ
Ha Noi
Tham gia
12/05/2014
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        1                    
",['/freelancer/nguyen-ut-hien'],"
                Trung bình:                28 ngày
","

                Thấp nhất:                25.000.000 VNĐ

|

                Trung bình:                25.000.000 VNĐ

|

                Cao nhất:                25.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/xay-dung-he-thong-chatbot
Đăng việc,"
Angular Project Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Xây dựng Web App MVP (Minium Viable Product) 

","
Kỹ năng

Angular , 
Angular 8  ","

We want to build standard cmponent libraries for Angular as we want to reuse components. 
The are standard components we want to reuse like the following 
1) User Registration 
2) Login 
3) Permission 
4) Roles 
5) Initial data setup 
The rest of the componets will be updated to you once we aware you the project. 
You only need to work on frontend UI project. Your project will communicate with backend system. 
You must be an expert in Angular and you will advise us the best approach.

","

ID dự án
45251
Ngày đăng

                                            21/02/2021, 20:52                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                15.000.000đ                                                             - 30.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Sam                
















Đến từ
Toàn quốc
Tham gia
21/02/2021
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        4                    
","['/freelancer/nguyen-ut-hien', '/freelancer/nguyen-van-son-44', '/freelancer/anh-trinh-6', '/freelancer/smith-adam']","
                Trung bình:                14 ngày
","

                Thấp nhất:                29.000.000 VNĐ

|

                Trung bình:                29.750.000 VNĐ

|

                Cao nhất:                30.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/angular-project
Secret project,,,,,,,,,,,https://www.vlance.vn/viec-freelance/thiet-ke-website-sach
Đăng việc,"
Cắt CSS và Code Web Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Chuyển Template thành Website 

","
Kỹ năng

CSS , 
Bán hàng , 
code , 
AI  ","

Tôi cần tìm một bạn cắt CSS từ file thiết kế tôi đã làm trên AI, sau đó code thành website. Trang web về thông tin sản phẩm, ko phải web bán hàng. Trang web chỉ có 3 cấp, cấp 2 là danh sách các bài tin tức, cấp 3 là bài tin tức. Giao diện trang cấp 2 và 3 cực kì đơn giản, gần như không có gì. 
(Mình đã tìm được người nhận job. Cảm ơn các bạn đã quan tâm đến bài đăng của mình. Nếu có job khác mình nhờ mọi người giúp nhé. Xin cảm ơn!)

","

ID dự án
45246
Ngày đăng

                                            21/02/2021, 11:50                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                3.000.000đ                                                             - 4.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Phan Viết Trung                
















Đến từ
Ha Noi
Tham gia
21/02/2021
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        15                    
","['/freelancer/dung-nakedsnake', '/freelancer/anmc', '/freelancer/le-quoc-viet-1', '/freelancer/nguyen-minh-phuong-45', '/freelancer/trung-vi-tran-1', '/freelancer/thanh-minh-1', '/freelancer/phan-van-binh-3', '/freelancer/hung-nguyen-234', '/freelancer/le-van-tan', '/freelancer/trung-thao', '/freelancer/doc-nhat-long', '/freelancer/khac-doan', '/freelancer/duy-minh-3', '/freelancer/luu-ngoc-quang', '/freelancer/tuan-do-27']","
                Trung bình:                5 ngày
","

                Thấp nhất:                1.000.000 VNĐ

|

                Trung bình:                3.433.333 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/cat-css-va-code-web
Đăng việc,"
Cần 1 bạn làm admin cho 1 web bán hàng bằng vuejs + nodejs Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Dựng website bán hàng 

","
Kỹ năng

MySQL , 
Node.js , 
Vue.js  ","

Mình đang có 1 web bán hàng phần dành cho khách hàng được dựng bằng vuejs, nuxt, nodejs. Phần backend mình đang cần 1 bạn làm dựa trên db (mysql) có sẵn mình đưa (dùng vuejs + nodejs). 
Mô tả chung: 
1: Tạo quyền, admin được phép truy cập từng chức năng 
2: Quản lý admin (thêm - sửa - xoá, gán quyền) 
3: Quản lý danh mục tin (thêm - sửa - xoá) 
4: Quản lý tin tức (thêm - sửa - xoá) 
5: Quản lý comment 
6: Quản lý sản phẩm (thêm - sửa - xoá) 
7: Quản lý Deal (thêm - sửa - xoá) 
8: Quản lý đơn hàng 
9: Quản lý Voucher 
10: Quản lý sản phẩm 
11: Cập nhật cấu hình trang người dùng 
12: Quản lý 1 số mục khác

","

ID dự án
45244
Ngày đăng

                                            21/02/2021, 11:15                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                10.000.000đ                                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Trần Tiến Khoa                





Làm việc tự do












Đến từ
Ha Noi
Tham gia
13/01/2018
Đã đăng


                    15                    việc                



","
                Chào giá:                                        
                        11                    
","['/freelancer/dung-nguyen-tien-10', '/freelancer/huynh-thanh-duy-3', '/freelancer/smith-adam', '/freelancer/tung-thanh-31', '/freelancer/luong-trinh-thanh-binh', '/freelancer/le-van-tan', '/freelancer/nam-tran-132', '/freelancer/ho-van-hoa', '/freelancer/luu-ngoc-quang', '/freelancer/finn-pham', '/freelancer/tuan-do-27']","
                Trung bình:                13 ngày
","

                Thấp nhất:                100.000 VNĐ

|

                Trung bình:                10.236.364 VNĐ

|

                Cao nhất:                20.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/can-1-ban-lam-admin-cho-1-web-ban-hang-bang-vuejs-nodejs
Đăng việc,"
Cung cấp giải pháp module RF với khoảng cách 1-2km Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

",,"

Chào các Vlance, 
Vũ đang có nhu cầu về giải pháp RF hoặc một method nào đó giải quyết vấn đề sau: 
Hiện nông trại của mình cách nhà tầm 1-2km, mình có một cái phao cơ công tắc báo nước ở nông trại, mình muốn ở nhà gắn 1 device là cái đèn với mạch module báo tín hiệu nước thông qua RF hoặc một method nào đó (Mình không muốn sài dây kéo đi xa quá) 
- Nếu được có thể bạn cung cấp luôn cả module 
- Nếu có video test thì quá tốt 
Cam ơn các Vlance.

","

ID dự án
45243
Ngày đăng

                                            21/02/2021, 10:58                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                200.000đ                                                             - 500.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Quang Vu Tran                



Kỹ sư lập trình nhúng, Kỹ sư phần mềm, Thiết kế đồ hoạ, Thiết kế video












Đến từ
TP. Ho Chi Minh
Tham gia
10/01/2021
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        1                    
",['/freelancer/nguyen-xuan-liem-1'],"
                Trung bình:                7 ngày
","

                Thấp nhất:                10 VNĐ

|

                Trung bình:                10 VNĐ

|

                Cao nhất:                10 VNĐ

",https://www.vlance.vn/viec-lam/cung-cap-giai-phap-module-rf-voi-khoang-cach-1-2km
Đăng việc,"
Đấu nối Mautic với woocomrce Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Mautic  ","

Mình cần đấu nối Mautic với woocomrce qua Api. Yêu cầu data sau khi khách mua hàng sẽ được đổ về mautic và phân loại sẵn theo từng sản phẩm. 
Ngoài ra cần đấu Mautic với hệ thống sms cùa mình. Có mở api và webhook sẵn rồi.

","

ID dự án
45242
Ngày đăng

                                            21/02/2021, 10:02                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                500.000đ                                                             - 1.500.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyễn Duy Khánh                
















Đến từ
Phu Tho
Tham gia
15/08/2018
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        1                    
",['/freelancer/le-quoc-viet-1'],"
                Trung bình:                10 ngày
","

                Thấp nhất:                5.000.000 VNĐ

|

                Trung bình:                5.000.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/dau-noi-mautic-voi-woocomrce
