Type,Title,Services,Skills,Description,In4_project,In4_employment,Num_applicants,Applicants,Duration,Price,Link
Nhận chào giá,"
Viết ứng dụng marketplace mobile app cho iOS Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Làm Mobile App theo yêu cầu 

","
Kỹ năng

iOS  ","

Tôi cần viết 1 social marketplace mobile app cho iOS với các tính năng sau đây: 
- Người bán: post hình ảnh sản phẩm lên 
- Người mua: 
+ dễ dàng tìm thấy sản phẩm cần tìm 
+ follow người bán 
+ thấy sản phẩm cần tìm qua Newsfeed 
+ share sản phẩm yêu thích để những người dùng khác đều thấy 
+ thanh toán qua app (ví dụ: qua Paypal hoặc Stripe) 
Một số tính năng khác đã được viết để thêm vào app: 
+ Đăng nhập qua Facebook và email 
Đã có high-fidelity wireframe để tham khảo. Ví dụ app tham khảo: Letgo.

","

ID dự án
38083
Ngày đăng

                                            17/01/2020, 18:52                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                20.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nam                


















Đến từ
Ha Noi
Tham gia
17/01/2020
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        9                    
","['/freelancer/chi-nguyen-77', '/freelancer/tran-van-tuan-11', '/freelancer/trinh-vo-mai', '/freelancer/nguyen-hoang-181', '/freelancer/dang-khoi-vu-tran', '/freelancer/doan-van-loi', '/freelancer/hoang-long-6', '/freelancer/tran-duc-lan']","
                Trung bình:                14 ngày
","

                Thấp nhất:                11.111.111 VNĐ

|

                Trung bình:                28.263.889 VNĐ

|

                Cao nhất:                60.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/viet-ung-dung-marketplace-mobile-app-cho-ios
Nhận chào giá,"
Code Load File Google translate Offline Language Files Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

code  ","

Chào các bạn, mình có tải được bộ package translate offline của app google Android, các bạn search [ Google translate Offline Language Files ] là biết ngay nó là gì, các gói này được dùng trong app Free của google, nhưng cái mình cần là dùng nó trên nền code khác [ C# , PHP , python ] 
=> Mình cần đoạn code để load được package offline đó và dùng được chức năng dịch tiếng Anh sang Tiếng việt bằng 1 trong 3 ngôn ngữ trên 
Cảm ơn !

","

ID dự án
38082
Ngày đăng

                                            17/01/2020, 18:14                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Trung Nguyễn                


















Đến từ
Binh Duong
Tham gia
26/07/2016
Đã đăng


                    30                    việc                



","
                Chào giá:                                        
                        2                    
",['/freelancer/dam-manh-hung'],"
                Trung bình:                42 ngày
","

                Thấp nhất:                100.000.000 VNĐ

|

                Trung bình:                100.000.000 VNĐ

|

                Cao nhất:                100.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/code-load-file-google-translate-offline-language-files
Nhận chào giá,"
Làm ứng dụng mobile đơn giản bằng React Native. Hết hạn nhận chào giá

","
Dịch vụ cần thuê:


Làm Mobile App theo yêu cầu 

","
Kỹ năng

MySQL , 
Laravel , 
Mobile application , 
React.js  ","

Chào các bạn, 
Mình đang tìm gấp một bận nào lập trình tốt 1 ứng đụng bằng React Native chỉ có 3 trang và 1 backoffice. 
Ứng dụng này là một thư mục giúp người dùng có thể tìm kiếm và xem thông tin các công ty có sẵn trong cơ sở dữ liệu của app. 
Backoffice sẽ được dùng để admin nhập dữ liệu các công ty. 
Design đã có sẵn, chỉ cần làm theo 100% như trong design, sẽ có check Pixel Perfect, nên lưu ý design cần phải được làm hoàn toàn chỉnh chu. 
Ứng dụng này sẽ có các chức năng sau: 
- Chức năng tìm kiếm (sẽ có 1 thanh tìm kiếm ở trang home) 
Các trang của ứng dụng: 
- Trang home 
- Trang kết quả tìm kiếm công ty 
- Trang giới thiệu, thông tin công ty 
Yêu cầu: 
- Lập trình tốt và thành thạo React Native 
- Biết về Laravel, và Laravel Voyager là một ưu điểm 
- Thành thạo Mysql 
Thời gian dự kiến: 
- Hoàn thành dự án trước tết (tầm 5 ngày) 
Các bạn nào thấy sẽ hoàn thành được trước tết thì nên nhận. 
Chúc các bạn đón một năm mới yên vui và hạnh phúc.

","

ID dự án
38074
Ngày đăng

                                            16/01/2020, 16:43                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                6.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Hồ Châu Nguyên                





CEO - JHO Tech












Đến từ
Da Nang
Tham gia
01/06/2018
Đã đăng


                    45                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/adward-nguyen-1', '/freelancer/dang-khoi-vu-tran', '/freelancer/nguyen-ngoc-tan-1', '/freelancer/vien-nguyen-9', '/freelancer/tuan-thanh-19']","
                Trung bình:                5 ngày
","

                Thấp nhất:                6.000.000 VNĐ

|

                Trung bình:                8.400.000 VNĐ

|

                Cao nhất:                15.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/lam-ung-dung-mobile-don-gian
Nhận chào giá,"
Dây chuyền tự động hóa Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Tự động hóa  ","

Cần thiết kế + chế tạo 01 máy pha chế tự động 
Sẽ phối hợp khảo sát dây chuyền thực tế 
Pha chế bao gồm nước + đồ ăn 
.......................................................................................................................

","

ID dự án
38070
Ngày đăng

                                            16/01/2020, 15:11                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Cần Thơ            
Ngân sách

                25.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        toto Khong                



làm việc tự do












Đến từ
Can Tho
Tham gia
30/08/2016
Đã đăng


                    13                    việc                



","
                Chào giá:                                        
                        2                    
","['/freelancer/nguyen-trung-kien-83', '/freelancer/tran-duc-lan']","
                Trung bình:                4 ngày
","

                Thấp nhất:                25.000.000 VNĐ

|

                Trung bình:                25.000.000 VNĐ

|

                Cao nhất:                25.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/day-chuyen-tu-dong-hoa
Nhận chào giá,"
Fix lỗi không build được app AR Unity sang Ios Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Test và kiểm tra lỗi 

","
Kỹ năng

iOS , 
3D  ","

Mình có 1 app AR làm bằng unity 3D 2018.3, Hiện tại khi build dự án lên appstore thì báo lỗi là this build invalid, 
email gởi về là TMS-90562: Invalid Bundle - One or more dynamic libraries that are referenced by your app are not present in the dylib search path. 
bạn nào có khả năng giúp pm giúp mình nhé. Thanks

","

ID dự án
38069
Ngày đăng

                                            16/01/2020, 13:45                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Chau Duong                





2 năm kinh nghiệm web development,wordpress,bootstrap,html5,jquery,css3,nhiệt tình,năng động,chuyên nghiệp,giá cả phải chăng












Đến từ
Da Nang
Tham gia
12/07/2015
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        2                    
","['/freelancer/cl-cosmos', '/freelancer/dang-khoi-vu-tran']","
                Trung bình:                3 ngày
","

                Thấp nhất:                2.000.000 VNĐ

|

                Trung bình:                3.500.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/fix-loi-khong-build-duoc-app-ar-unity-sang-ios
Secret project,,,,,,,,,,,https://www.vlance.vn/viec-freelance/lap-trinh-mobile-app-va-thiet-ke-web
Nhận chào giá,"
Seekinh PHP developer Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Dựng website bán hàng 

","
Kỹ năng

PHP , 
Android , 
responsive , 
CodeIgniter  ","

Hi 
i am Looking for php developer to add some Features to an existing site dealing with the following technique: 
1. browser push notification 
2.make site responsive on mobile 
3.deal with api 
4.deal with smtp and cron job 
5.take live picture through mobile and desktop webcam 
payment is 80USD 
but we plan to hire the selected freelancer for long term part time remote job 
Thanks

","

ID dự án
38053
Ngày đăng

                                            16/01/2020, 03:12                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Hà Nội            
Ngân sách

                50.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        dan lan                



engineer












Đến từ
Ha Noi
Tham gia
20/07/2018
Đã đăng


                    89                    việc                



","
                Chào giá:                                        
                        2                    
","['/freelancer/thanh-thao-nguyen-6', '/freelancer/tuan-thanh-19']","
                Trung bình:                4 ngày
","

                Thấp nhất:                2.000.000 VNĐ

|

                Trung bình:                3.500.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/seekinh-php-developer
Nhận chào giá,"
Lập trình ứng dụng di động bằng ngôn ngữ Flutter Hết hạn nhận chào giá

","
Dịch vụ cần thuê:


Làm Mobile App theo yêu cầu 

","
Kỹ năng

design , 
Lập trình ứng dụng  ","

Ưu tiên các bạn sinh viên sắp ra trường và muốn học hỏi, chỉ thuê các bạn sống tại TPHCM để gặp nhau trao đổi. 
Mình cần lập trình một ứng dụng di động bằng ngôn ngữ lập trình Flutter, có sẵn design và các bạn dựa theo design để làm, các tính năng của ứng dụng cơ bản như sau: 
- Trang home 
- Trang tìm kiếm, autocomplete 
- Danh sách tìm kiếm 
- Chi tiết của kết quả tìm kiếm 
- Danh sách lịch sử tìm kiếm 
- Danh sách bookmark 
- Và nhiều trang khác sẽ trao đổi thêm...

","

ID dự án
38041
Ngày đăng

                                            14/01/2020, 14:51                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                10.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Sỹ Cường                





Saler












Đến từ
TP. Ho Chi Minh
Tham gia
31/05/2015
Đã đăng


                    15                    việc                



","
                Chào giá:                                        
                        4                    
","['/freelancer/chau-ngoc-nguyen', '/freelancer/dang-khoi-vu-tran', '/freelancer/tung-pham-thanh-5', '/freelancer/nguyen-ngoc-tan-1']","
                Trung bình:                10 ngày
","

                Thấp nhất:                10.000.000 VNĐ

|

                Trung bình:                12.250.000 VNĐ

|

                Cao nhất:                15.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/lap-trinh-ung-dung-tu-dien-bang-ngon-ngu-flutter
Nhận chào giá,"
Tạo ứng dụng ID facebook Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

",,"

Cần làm ID ứng dụng cho facebook các quyền quản lý pages, info user, groups, profile để làm phần mềm facebook đăng bài tự động, chatbot,....càng nhiều quyền càng tốt. Bạn nào làm được và hướng dẫn được thì ới mình nhé .

","

ID dự án
38052
Ngày đăng

                                            15/01/2020, 14:16                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Thái Sơn                





Trưởng nhóm kỹ thuật












Đến từ
Thai Binh
Tham gia
26/07/2017
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        0                    
",[],"
                Trung bình:                0 ngày
","

                Thấp nhất:                0 VNĐ

|

                Trung bình:                0 VNĐ

|

                Cao nhất:                0 VNĐ

",https://www.vlance.vn/viec-freelance/tao-ung-dung-id-facebook-2
Nhận chào giá,"
SEO cho website Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Tối ưu SEO cho trang web 

","
Kỹ năng

SEO  ","

_ Mình sắp tiến hành xây dựng một website giống tidy.vn và cần một SEO chuyên nghiệp để tối ưu hóa kết quả tìm kiếm cho mỗi dịch vụ bên mình sẽ triển khai. 
_ Mình cần một kế hoạch hoàn chỉnh, các bước đi và cam kết về kết quả có thể kiểm chứng từ ứng viên. 
_ Có thể chia project thành nhiều giai đoạn và loại hình dịch vụ, khi đạt được kết quả đã cam kết thì bên mình sẽ thanh toán theo từng giai đoạn. 
_ Có thể làm từ xa và liên hệ với lead front-end bên mình qua skype hoặc các phương tiện giao tiếp online khác.

","

ID dự án
38048
Ngày đăng

                                            15/01/2020, 13:25                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                5.000.000đ                            
Hình thức làm việc

                                            Làm tại văn phòng                                                                            
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Nguyễn Thành Đạt                


















Đến từ
TP. Ho Chi Minh
Tham gia
15/01/2020
Đã đăng


                    4                    việc                



","
                Chào giá:                                        
                        2                    
","['/freelancer/bao-hoang-2', '/freelancer/chi-nguyen-77']","
                Trung bình:                3 ngày
","

                Thấp nhất:                1.000.000 VNĐ

|

                Trung bình:                3.000.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/seo-cho-website-2
