Type,Title,Services,Skills,Description,In4_project,In4_employment,Num_applicants,Applicants,Duration,Price,Link
Đăng việc,"
Customize wordpress theme Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Xây dựng website wordpress 

","
Kỹ năng

CSS , 
Wordpress , 
Plugin , 
Landing page  ","

Mình đang tìm kiếm freelance thực hiện customize theme cho website của mình. Theme mình mua đã có sẵn các thứ mình cần, việc của bạn là chỉnh sửa lại theo yêu cầu: 
MÔ TẢ: 
- Lập trình landing page Manipulation gồm các section như: thông tin giới thiệu công ty, giải pháp (sản phẩm), testimonial, contact form 
- Phần thông tin giới thiệu và các giải pháp (sản phẩm) cần được thể hiện theo dạng storytelling từ trên xuống dưới 
- Landing page cần được tối ưu, thêm mới sửa đổi nội dung theo yêu cầu 
YÊU CẦU: 
- Có khả năng và thành thạo lập trình WordPress, tùy biến theme, plugin, CSS. 
- Tối ưu themes wordpress chuẩn giao diện 
- Tối ưu hóa landing page với các công cụ tìm kiếm 
- Bạn chỉ cần ít nhất 2 năm kinh nghiệm làm việc với Wordpress 
Mình sẽ trao đổi chi tiết hơn về thiết kế và brief dự án nhé!

","

ID dự án
67789
Ngày đăng

                                            09/05/2023, 09:15                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                3.000.000đ                                                             - 10.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Truong Nguyen                


















Đến từ
Ha Noi
Tham gia
13/09/2022
Đã đăng


                    3                    việc                



","
                Chào giá:                                        
                        11                    
","['/freelancer/nguyen-nhat-hao-1', '/freelancer/vo-tan-hung', '/freelancer/nguyen-phuoc-tan-1', '/freelancer/cong-dinh-13', '/freelancer/cuong-market10', '/freelancer/duy-tien-5', '/freelancer/pham-van-huy-1218', '/freelancer/thong-hoang-9', '/freelancer/bui-van-truong', '/freelancer/trueday', '/freelancer/loc-bui-2']","
                Trung bình:                5 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                5.790.909 VNĐ

|

                Cao nhất:                10.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/customize-wordpress-theme-2
Secret project,,,,,,,,,,,https://www.vlance.vn/viec-freelance/viet-lai-giao-dien-don-gian-cho-trang-wp-hien-thi-file-pdf
Đăng việc,"
Kết nối hệ thống Haravan - Odoo Hết hạn nhận chào giá

","
Dịch vụ cần thuê:


Lập trình module odoo 

","
Kỹ năng

CRM , 
Email Marketing , 
Odoo , 
Haravan  ","

Mình cần hỗ trợ kết nối API hệ thống Haravan và Odoo. Cụ thể đổ các dữ liệu KH (tên, đơn hàng, ngày sinh, thông tin liên hệ, thứ hạng VIP, v..v) về Odoo để xem Odoo như kênh CRM chăm sóc sau bán (gửi email marketing) tốt hơn. 
Mong muốn hệ thống chạy ổn định bảo hành 1 năm. Tốt hơn nữa là kết nối Odoo cùng VIHAT để mình lưu trữ tất cả dữ liệu trung tâm tại Odoo. 
Nhờ bạn hỗ trợ gấp, cám ơn rất nhiều.

","

ID dự án
67542
Ngày đăng

                                            01/05/2023, 17:10                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                2.000.000đ                                                             - 3.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Quyên Tôn                


















Đến từ
TP. Ho Chi Minh
Tham gia
30/04/2023
Đã đăng


                    2                    việc                



","
                Chào giá:                                        
                        4                    
","['/freelancer/cti-software', '/freelancer/cuong-market10', '/freelancer/pham-quang-lan', '/freelancer/doan-nam-minh']","
                Trung bình:                8 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                5.550.000 VNĐ

|

                Cao nhất:                10.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/ket-noi-he-thong-harvan-odoo
Đăng việc,"
Lập trình cho module Bluetooth Low Energy Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Thiết kế mạch điện tử, PCB 

","
Kỹ năng

HTML , 
code , 
AI  ","

Mình cần tìm 1 bạn code cho module Bluetooth PB-03F của hãng Ai-thinker (http://www.ai-thinker.com/pro_view-98.html) hãng đã có SDK 
Các chức năng yêu cầu: 
1. Các ngoại vi ADC, Timer, PWM 
2. Cấu hình được timer từ điện thoại, khi đến thời gian đã định, kiểm tra giá trị ADC, nếu vượt mức ngưỡng thì điều khiển đèn led bằng PWM 
3. Có hỗ trợ OTA

","

ID dự án
67781
Ngày đăng

                                            08/05/2023, 21:58                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                                                             - 2.500.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Trần Trang                


















Đến từ
Ha Noi
Tham gia
07/07/2020
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        4                    
","['/freelancer/cti-software', '/freelancer/jerry-1', '/freelancer/cuong-market10', '/freelancer/huan-le-7']","
                Trung bình:                9 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                3.425.000 VNĐ

|

                Cao nhất:                10.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/lap-trinh-cho-module-bluetooth-low-energy
Đăng việc,"
Mình cần collection data từ các nền tảng Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Lập trình ứng dụng  ","

Collection data từ các nền tảng như Facebook, Youtube ,Tiktok , Instagram....

","

ID dự án
67778
Ngày đăng

                                            08/05/2023, 18:03                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                30.000.000đ                                                             - 50.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Dang Nhu Hai                


















Đến từ
Toàn quốc
Tham gia
08/05/2023
Đã đăng


                    1                    việc                



","
                Chào giá:                                        
                        11                    
","['/freelancer/tran-van-hieu-7', '/freelancer/van-hien-dang', '/freelancer/cuong-market10', '/freelancer/linh-nguyen-2131', '/freelancer/huong-do-van-1', '/freelancer/luat-le-1', '/freelancer/duy-ta-cong-2', '/freelancer/bach-ngoc-tuan-1', '/freelancer/nguyen-quang-huy-90', '/freelancer/linh-hoang-15', '/freelancer/danh-huynh-5']","
                Trung bình:                18 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                36.654.545 VNĐ

|

                Cao nhất:                50.000.000 VNĐ

",https://www.vlance.vn/viec-lam/minh-can-collection-data-tu-cac-nen-tang
Đăng việc,"
Cấu hình wordpress website cho môi trường production Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Cài đặt / Cấu hình server 

","
Kỹ năng

Wordpress , 
Quảng cáo Google Ads , 
Plugin , 
Tối ưu máy chủ  ","

Website wordpress đã được xây dựng tuy nhiên lúc chạy lên production quá chậm mặc dù đã gắng cache plugin. 
Công việc cần giải quyết 
1. Cache page chứ không phải cache toàn bộ trang. 
2. Cache phù hợp với google ads. 
3. Và các công việc tối ưu khác.

","

ID dự án
67775
Ngày đăng

                                            08/05/2023, 16:24                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                1.000.000đ                                                             - 5.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Tuoi Nguyen                


















Đến từ
TP. Ho Chi Minh
Tham gia
03/08/2020
Đã đăng


                    12                    việc                



","
                Chào giá:                                        
                        5                    
","['/freelancer/le-quoc-viet-1', '/freelancer/vo-tan-hung', '/freelancer/cuong-market10', '/freelancer/tan-hau-duong-1', '/freelancer/cong-dinh-13']","
                Trung bình:                6 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                3.940.000 VNĐ

|

                Cao nhất:                5.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/cau-hinh-wordpress-website-cho-moi-truong-production
Đăng việc,"
LƯU TRỮ HÌNH ẢNH WEB LÊN GOOGLE DRIVER Đã hoàn thành
","
Dịch vụ cần thuê:


Phát triển ứng dụng web 

","
Kỹ năng

Google API , 
Javascript , 
PHP  ","

Mình cần tim 1 bạn gioi về php, js và API xử lý lưu dữ liệu hình anh vào google driver và hiển thi ngược lại khi upload lên web 
thay vi lưu vào sever thi lưu vào google driver

","

ID dự án
67774
Ngày đăng

                                            08/05/2023, 16:23                                    
Chỉ còn
Đã hoàn thành
Địa điểm

                Toàn Quốc            
Ngân sách

                500.000đ                                                             - 1.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        NGUYEN VAN THIET                





Lập trình viên












Đến từ
Lam Dong
Tham gia
14/03/2020
Đã đăng


                    47                    việc                



","
                Chào giá:                                        
                        6                    
","['/freelancer/chu-linh-4', '/freelancer/cuong-market10', '/freelancer/tya-tech', '/freelancer/nguyen-thu-327', '/freelancer/ha-minh-hai-2', '/freelancer/danh-huynh-5']","
                Trung bình:                3 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                733.333 VNĐ

|

                Cao nhất:                1.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/luu-tru-hinh-anh-web-len-google-driver
Đăng việc,"
Job BA - Hoàn thiện tài liệu phân tích nghiệp vụ chức năng Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Viết phần mềm theo yêu cầu 

","
Kỹ năng

Phân tích , 
Business Analysis  ","

Hi all 
Hiện tại bên mình có job hoàn thiện tài liệu BA cho module trong dự án, Module liên quan đến y tế học đường. 
Mình đã có tài liệu mô tả về yêu cầu nghiệp vụ đang cần 1 bạn hoàn thiện tài liệu BA cho module 
Thanks 
MaoDK

","

ID dự án
67765
Ngày đăng

                                            08/05/2023, 11:38                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                Toàn Quốc            
Ngân sách

                7.000.000đ                                                             - 15.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Dao Mao                





LTV












Đến từ
Ha Noi
Tham gia
08/08/2014
Đã đăng


                    26                    việc                



","
                Chào giá:                                        
                        11                    
","['/freelancer/tav-pro', '/freelancer/pham-quang-sang-2', '/freelancer/ngoc-thach-nguyen-6', '/freelancer/le-quoc-viet-1', '/freelancer/ngoc-quang-la', '/freelancer/cuong-market10', '/freelancer/bui-thu-trang', '/freelancer/tu-nguyen-16', '/freelancer/cti-software', '/freelancer/nhan-duong-thanh-1', '/freelancer/loc-bui-2']","
                Trung bình:                11 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                10.336.364 VNĐ

|

                Cao nhất:                15.000.000 VNĐ

",https://www.vlance.vn/viec-freelance/job-ba-hoan-thien-tai-lieu-phan-tich-nghiep-vu-chuc-nang
Đăng việc,"
App Androi cho quản lý GPS ÔTô Hết hạn nhận chào giá
","
Dịch vụ cần thuê:


Làm ứng dụng Android theo yêu cầu 

","
Kỹ năng

Android  ","

Công ty chúng tôi cần làm App Android về thiết bị GPS cho Ô tô 
Ngoài các kỹ năng cơ bản làm app Android thông thường , Cần phải biết thuần thục về Map goole khi làm dự án này

","

ID dự án
67760
Ngày đăng

                                            08/05/2023, 09:04                                    
Chỉ còn
Hết hạn nhận chào giá
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                30.000.000đ                                                             - 40.000.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Saigonstar Cong Ty                





Sagostar












Đến từ
TP. Ho Chi Minh
Tham gia
24/03/2016
Đã đăng


                    4                    việc                



","
                Chào giá:                                        
                        20                    
","['/freelancer/khoi-thuoc-dem', '/freelancer/hieu-minh-21', '/freelancer/le-vinh-duc-2', '/freelancer/chuong-kyle', '/freelancer/biendodinh', '/freelancer/cuong-market10', '/freelancer/duy-ta-cong-2', '/freelancer/acd-academy', '/freelancer/cl-cosmos', '/freelancer/huan-le-7', '/freelancer/dang-khoi-vu-tran', '/freelancer/duong-nguyen-736', '/freelancer/cti-software', '/freelancer/loc-bui-2', '/freelancer/tran-van-tuan-11', '/freelancer/ngoc-quang-la', '/freelancer/huy-soft23', '/freelancer/pham-van-huy-1218', '/freelancer/pham-ngoc-son-16', '/freelancer/tav-pro']","
                Trung bình:                21 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                47.010.000 VNĐ

|

                Cao nhất:                100.000.000 VNĐ

",https://www.vlance.vn/viec-lam/app-androi-cho-quan-ly-gps-oto-1
Đăng việc,"
LẬP KẾ HOẠCH VÀ DỰ TOÁN DỰ ÁN WEBSITE THEO DANH MỤC TÊN MIỀN ĐẦU TƯ (PLANNING AND BUDGETING FOR DEVELOPING IDEAS OF WEBSITE BASED ON DOMAIN PORTFOLIO). Đã hoàn thành
","
Dịch vụ cần thuê:


Test và kiểm tra lỗi 

","
Kỹ năng

Internet marketing , 
Biên tập , 
Biên tập viên nội dung web , 
Lập kế hoạch dự án , 
Tìm kiếm web , 
code , 
Landing page , 
Excel  ","

* TÊN GỌI CÔNG VIỆC: LẬP KẾ HOẠCH VÀ DỰ TOÁN DỰ ÁN WEBSITE THEO DANH MỤC TÊN MIỀN ĐẦU TƯ (PLANNING AND BUDGETING FOR DEVELOPING IDEAS OF WEBSITE BASED ON DOMAIN PORTFOLIO). 
* MÔ TẢ NỘI DUNG CÔNG VIỆC 
1. Check lỗi website theo danh mục cho trước 
1.1. Kiểm tra lỗi hiện tại của danh mục tên miền cho trước (không cần kiểm tra kỹ, chỉ cần báo có thể truy cập được hay không, nếu không thì do lỗi gì). File kiểm tra nếu không tự code được thì mình sẽ hướng dẫn hoặc gửi file sẵn để chỉ cần chạy file là tự động mở website hàng loạt. 
1.2. Đối chiếu về nội dung và hình thức của các trang web sẵn có với danh mục cho trước, cho biết ý kiến cá nhân về nội dung và hình thức website (không bắt buộc nếu có thể thực hiện bước 2.2). 
2. Tìm bộ code phát triển website cho các tên miền chưa có website. 
2.1. Đối với các site (tên miền) chưa có trang web, có thể lập một danh sách các bộ code website nên mua cho tên miền đó (dựa vào tìm thông tin tại các trang bán code rất nhiều trên mạng - nếu không biết thì mình hướng dẫn) và dựa theo nội dung phát triển website/ dự kiến hoạch định mô hình kinh doanh tại website. 
2.2. Lập dự toán phát triển website (gồm chi phí mua bộ code và chi phí phát triển thêm dựa trên bộ code đã mua nếu có). 
Tài liệu danh mục website sẽ gửi hoặc chuyển link sau khi đồng ý nhận việc, thỏa thuận xong về giá. 
* SẢN PHẨM BÀN GIAO 
Sản phẩm bàn giao: 2 file excel 
- A. 01 file gồm danh mục website và lỗi truy cập nếu có kèm nguyên nhân và đề xuất/ giải pháp sửa lỗi 
- B. 01 file gồm danh mục các bộ code đề xuất cho các tên miền trong danh mục (chưa có landing page) 
- trong file B có thể đề xuất thêm một dự toán phát triển cho mỗi tên miền. 
* KỸ NĂNG CẦN CÓ VÀ THỜI GIAN YÊU CẦU 
Kỹ năng rất đơn giản: Kỹ năng quản lý dự án sơ cấp, kỹ năng tìm kiếm thông tin cao cấp, kỹ năng biên tập hoặc phát triển website trung cấp. Kỹ năng còn thiếu sẽ được hướng dẫn khi nhận việc. 
Thời gian yêu cầu trong vòng 03-14 ngày.

","

ID dự án
67755
Ngày đăng

                                            08/05/2023, 08:31                                    
Chỉ còn
Đã hoàn thành
Địa điểm

                TP. Hồ Chí Minh            
Ngân sách

                330.000đ                                                             - 550.000đ                                                
Hình thức làm việc

                                                                Làm online                                                        
Hình thức trả lương

                                    Trả theo dự án                            

","









                        Antonia Nguyễn                





Chuyên dịch thuật, tư vấn thành lập doanh nghiệp, thiết kế và biên tập nội dung website,  và tổ chức sự kiện












Đến từ
TP. Ho Chi Minh
Tham gia
05/08/2019
Đã đăng


                    10                    việc                



","
                Chào giá:                                        
                        3                    
","['/freelancer/cuong-market10', '/freelancer/pm-hung', '/freelancer/phuong-dao-huy']","
                Trung bình:                3 ngày
","

                Thấp nhất:                200.000 VNĐ

|

                Trung bình:                400.000 VNĐ

|

                Cao nhất:                500.000 VNĐ

",https://www.vlance.vn/viec-freelance/lap-ke-hoach-va-du-toan-du-an-website-theo-danh-muc-ten-mien-dau-tu-planning-and-budgeting-for-developing-ideas-of-website-based-on-domain-portfolio
